index,question,answer,subject
109,מתי צריך לבדוק את צפיפות עצם?,"מומלץ שנשים יעברו בדיקת סיקור ראשונה של צפיפות העצם בגיל 60, וגברים בגיל 70. אם באותה הבדיקה לא אובחן אוסטאופורוזיס, מומלץ לחזור על הבדיקה הזאת אחת לחמש שנים.אם יש גורמי סיכון לאוסטאופורוזיס, מומלץ להיבדק בגיל צעיר יותר ומדי שנתיים: לנשים ולגברים בני 50 ויותר מומלץ להיבדק, אם היה להם שבר אוסטאופורוטי, או אם היה שבר כזה לקרוב משפחה שלהם בדרגה ראשונה, או אם משקלם נמוך במיוחד, או אם הם מקבלים טיפול תרופתי הגורם להידלדלות העצם או, לחלופין, מטופלים בתרופות נג",בדיקת צפיפות עצם
110,האם צריך הפניה לבדיקה?,"לא. כדי לקבוע תור לבדיקת קורונה לפני טיסה לחו""ל אין צורך בהפניה מרופא, אבל צריך להציג את כרטיס הטיסה ואת הדרכון שאיתו תיכ","בדיקת קורונה לפני טיסה ובידוד לחוזרים מחו""ל"
111,איך מתבצעת בדיקת צפיפות עצם?,"בדיקת צפיפות עצם עושים כאשר המטופל שוכב על משטח מרופד. הסורק, שעובר מעל לגוף, קולט קרני רנטגן הנפלטות ממקור קרינה הנמצא מתחת למטופל.קרני הרנטגן עוברות דרך העצמות ונקלטות במכשיר. כמות הקרניים שמצליחות לחדור דרך העצם תלויה בצפיפות המינרלים בעצם.העצמות שנסרקות הן לרוב חוליות הגב, עצם הירך ולעיתים גם שורש כף היד והקרסול. יש לציין שעוצמת הקרינה שאליה נחשפים בבדיקה היא כעשירית מהעוצמה שאליה נח",בדיקת צפיפות עצם
112,איך מפענחים את תוצאות הבדיקה שקיבלתי?,"תוצאות בדיקת צפיפות עצם מדוּוחות בערכים של מסת העצם ובציון T המשווה את נתוני מסת העצם של הנבדק לנתוני מסת העצם של צעירות בריאות בעשור השלישי לחייהן.ככל שערך ה־T נמוך יותר, כך העצם צפופה פחות או, במילים אחרות, מדולדלת יותר לעומת הנורמה בגיל הצעיר.ציון T נחשב לתקין החל מהערך של 1- (מינוס אחת) ומעלה.ציון T בין 1- ל־2.5- מעיד על ירידה במסת העצם. מדובר במצב שנקרא אוסטאופניה (קדם אוסטאופורוזיס).ציון T שנמוך מ־2.5- מעיד ע",בדיקת צפיפות עצם
113,מהי בדיקת מיפוי עצמות?,"מיפוי עצמות היא בדיקת הדמיה שבה נעשה שימוש בחומר סימון רדיואקטיבי כדי לאבחן סוגים שונים של מחלות עצם. חומר הסימון נקלט במיוחד באזורים שבהם יש פעילות רבה של פירוק עצם או של בניית עצם.הרופא עשוי להפנות למיפוי עצמות במקרה של כאבים בלתי מוסברים בעצמות - כאבים שעשויים לרמז על שבר, על דלקת, על זיהום או על גידול בעצם שלא ניתן לאבחן בעזרת צ",מיפוי עצמות
114,מתי יש צורך במיפוי עצמות?,"מיפוי עצמות מסייע לאבחון של המצבים הבאים:• גידולי עצם שפירים או ממאירים.• הימצאות גרורות בעצמות. גרורות הן מוקדי סרטן בעצמות שמקורם בגידול שהתחיל במקום אחר בגוף.• שבר שלא רואים בצילום רנטגן פשוט (השכיחים ביותר הם שברים בירך, שברי מאמץ ברגליים או שברים בחוליות).• זיהום בעצם (אוסטאומיאליטיס).• כאב בלתי מוסבר בעצמות.• מחלות מטבוליות שפוגעות בהרכב ",מיפוי עצמות
115,מהי ביופסיה של השד?,"ביופסיה של השד היא נטילת דגימה מגוש חשוד שהתגלה בשד כדי לקבוע אם הוא שפיר או סרטני.כיום עושים את רוב הביופסיות באמצעות דיקור מחט ולא באמצעות ניתוח. לביופסיית מחט יש כמה יתרונות על פני ניתוח: היא מכאיבה פחות, היא יותר בטוחה, והצלקות שהיא מותירה קטנות יותר שכן כדי לעשות אותה ניתן להסתפק בחתכים קטנים יותר. את הביופסיה ניתן לעשות באמצעות מחט דקה או עבה.ביופסיית מחט דקה (FNA - Fine Needle Biopsy) מתאימה למצבים ייחודיים כמו ציסטה בשד. הדיוק שלה נמוך מזה של ביופסיית מחט עבה. היות שמשתמשים במחט דקה מאוד, ניתן לעשות את הבדיקה ללא הרדמה כלל. הפצע שנותר על העור הוא קטן מאוד ולרוב לא גורם לצלקת.ביופסיית מחט עבה (Core Needle Biopsy) מאפשרת לקבל גליל של רקמת שד לצורך בדיקתה. המחט מוחדרת דרך חתך קטן בעור אחרי שהנבדקת מקבלת זריקה להרדמה מקומית. לרוב החתך אינו מחייב תפרים ומחלים במהירות.כדי לאתר במדויק את האזור החשוד בשד שממנו יש ליטול את הביופסיה יכול הרופא להיעזר בחוש המישוש - אם אכן ניתן למשש את הממצא החשוד. אם לא ניתן למשש אותו, עשוי הרופא להיעזר בבדיקות הדמיה שונות. בדיקת ההדמיה הנוחה והזמינה ביותר היא אולטרסאונד שדיים.אם לא מצליחים לזהות את הממצא בבדיקת אולטרסאונד, ניתן להיעזר בבדיקת ממוגרפיה. איתור ממצאים לביופסיה באמצעות ממוגרפיה מצריך עיבוד תמונות דו־ממדיות באמצעות תוכנת מחשב והכוונה ממוחשבת של המחט. השיטה הזאת נקראת ביופסיה סטריאוטקטית.כל מה שאת צריכה לדעת על ממוגרפיה: צפי עכשיובדיקת ממוגרפיהקיימים כמה מכשירים אוטומטיים שמשמשים לביופסיית מחט עבה. כמה מהם ""יורים"" את המחט בעזרת קפיץ, ואילו אחרים מייצרים ואקום ששואב את הנגע לתוך המחט. נהוג לקחת יותר מדגימה אחת כדי לשפר את דיוק הבדיקה. כמו כן נוהגים לעיתים לסמן באמצעות סיכת ניתוח (קליפס מתכתי זעיר) את האזור שממנו נלקחה הדגימה.ביופסיית מחט עבה היא כיום השיטה הנפוצה והמומלצת ביותר. עם זאת ייתכנו מצבים רפואיים שבהם ימליץ הרופא על ביופסיה פתוחה (ביופסיה באמצעות ניתוח). במקרים כאלה נעשית הביופסיה בחדר ניתוח בהרדמה כללית או מקומית. הניתוח גורם בדרך כלל לחתך גדול יותר בעור שאותו יש לסגור באמצעות תפרים או באמצ",ביופסיה של השד
116,מתי עושים את הבדיקה?,"ביופסיית שד נעשית במקרה שעולה חשש שיש גידול בשד (סרטן השד). החשש הזה עולה במקרים הבאים:· בבדיקה ידנית חשים כי קיים גוש בשד.· גוש או ממצא חשוד אחר נמצאו בשד בבדיקת הדמיה כלשהי: ממוגרפיה, אולטרסאונד או MRI.· ישנו שינוי בצורת השד.· הפטמה הפכה להיות שקועה.· הופיעו שינויים בעור השד.· מהפטמה מופרש",ביופסיה של השד
117,מהי ברונכוסקופיה?,"ברונכוסקופיה היא בדיקה פולשנית שמאפשרת לבדוק את דרכי הנשימה ולטפל בבעיות שמתגלות תוך כדי הבדיקה.הבדיקה נעשית לאחר הרדמה מקומית של רירית הלוע בתוספת טשטוש או לאחר הרדמה כללית. בבדיקה מחדירים את הברונכוסקופ לדרכי הנשימה דרך הפה או דרך האף. בקצה המכשיר נמצאים מקור אור ומצלמה, ואלה מאפשרים לבחון את החלק הפנימי של מערכת הנשימה דרך עינית או על צג טלוויזיה.המכשיר כולל גם תעלה שדרכה ניתן להעביר מכשירים שונים שמאפשרים לקחת לבדיקה דגימות של הפרשות או של רקמה לא תקינה, לסלק הפרשות שחוסמות מעבר אוויר, להחדיר תומכונים (סטנטים) לדרכי אוויר חסומות, לעשות שטיפות כדי לקבל חומר לבדיקה מנתיבי אוויר קטנים יותר (שאליהם המכשיר אינו יכול להגיע) ולטפל בדימומים מדרכי הנשימה.קיימים סוגים שונים של ברונכוסקופים. לרוב משתמשים במכשיר הגמיש והדק שמאפשר לעשות את הבדיקה ללא הרדמה כללית. בדיקה בעזרת המכשיר הקשיח והעבה יותר נעשית לרוב בחדר ניתוח בהרדמה כללית. השימוש במכשיר הקשיח נעשה בדרך כלל כשיש צורך לעשות פעולות מורכבות יו",ברונכוסקופיה
118,מתי צריך לעשות בדיקת ברונכוסקופיה?,"• כדי לאבחן תלונות שונות בתחום הנשימה כמו שיעול, קוצר נשימה, פליטה של כיח דמי, צרידות, נשימה רועשת.• כדי לברר ממצאים לא תקינים בבדיקות שונות כמו תפקודי ריאות, צילום חזה או CT  חזה.• כדי לבחון דלקת ריאות שאינה מגיבה לטיפול. הבדיקה מאפשרת לשלול או לאשר הימצאות של גידול שמפריע לריפוי הזיהום. כמו כן היא מאפשרת לקחת תרביות מאזור הדלקת כדי לקבוע באילו מזהמים מדובר.• כדי להבדיל בין זיהום לבין דחיית השתל בחולים לאחר השתלת ריאות.• כדי לברר חשד להימצאותם של מומים מולדים בדרכי הנשימה כמו טרכיומלציה.• כדי לברר חשד לפגיעה בדרכי הנשימה כתוצאה מטראומה או משאיפת עשן.• כדי לברר חשד לסיבוכים לאחר כריתת ריאה או חלק ממנה.• כדי לסלק הצטברות של הפרשות.• כדי להוציא גופים זרים מדרכי הנשימה.• כדי לטפל ברקמה לא תקינה - כמו רקמת גידול - בעזרת קרני לייזר, חנקן נוזלי או שתלים שכוללים חומר רדיואקטיבי.• כדי להכניס תומכון לאזור שבו יש ",ברונכוסקופיה
119,מהי בדיקת דופלקס עורקי צוואר?,"דופלקס עורקי צוואר היא בדיקה שמשלבת אולטרסאונד עם דופלר ומאפשרת לבחון לא רק אם מבנה העורקים תקין, אלא גם האם זרימת הדם בהם תקינה.עורקי הקרוטיד, המכונים גם עורקי התרדמה, נמצאים בשני צידי הצוואר ומובילים דם למוח. חסימה בהם עלולה לגרום להפרעה בהספקת הדם למוח ולאירוע מוחי.הבדיקה הזאת אינה פולשנית ואינה כרוכה בחשיפה לקרינה מייננת (קרינה עתירת אנרגיה שמסוגלת לשחרר אלקטרונים מתוך אטומים וכתוצאה מכך לפגוע בחומר התורשתי בתאים ולגרום לסרטן ולמומים ",דופלקס עורקי צוואר
120,מתי יש צורך לעשות בדיקת דופלקס עורקי צוואר?,"בדיקת דופלקס עורקי צוואר נעשית כדי לבחון את זרימת הדם בעורקי הצוואר.הסיבה העיקרית לחסימה בעורקים היא תהליך טרשתי, שבו מצטברים משקעים של כולסטרול, של שומן, של סידן ושל חומרים נוספים בדופנות העורקים. גורמי הסיכון לטרשת בעורקים הם עישון, סוכרת, לחץ דם גבוה, יתר שומנים בדם וקרובי משפחה שלקו באירוע מוחי או במחלת לב.במצבים הבאים עשוי הרופא להפנות אותך לבדיקת דופלקס של עורקי הצוואר:• אם היה לך שבץ מוחי או אירוע מוחי חולף (TIA - ראשי תיבות של  Transient Ischemic Attack).• לצורך מעקב - אם נמצאה בעבר היצרות באחד מעורקי הצוואר או אחרי ניתוח באחד מהעורקים האלה.• אם הרופא שלך שומע (באמצעות הסטטוסקופ) אוושה בעורקי הצוואר שעלולה להעיד ",דופלקס עורקי צוואר
121,מהי בדיקת CT חזה?,"CT חזה הוא בדיקת הדמיה המבוססת על צילומי רנטגן רבים שמייצרים תמונות מפורטות ומדויקות של בית החזה מזוויות שונות.הצילומים האלה עוברים עיבוד בסורק ממוחשב שיוצר תמונות של איברי החזה ובהם הריאות, הלב, עצמות השלד, השרירים וכלי הדם.התמונות מוצגות בחתכים (פרוסות), והרופא יכול לעיין בכל פרוסה בנפרד או בהדמיה תלת־ממדית. המידע שמתקבל מבדיקת CT חזה מפורט הרבה יותר מהמידע שמתקבל ",CT חזה
122,מתי צריך לעשות בדיקת CT חזה?,"הרופא או הרופאה עשויים להפנות אותך לבדיקת CT חזה באחד מהמצבים הבאים:• כאשר מתגלה ממצא לא תקין בצילום חזה, ויש צורך בהערכה מפורטת יותר.• כאשר ישנם תסמינים כמו שיעול, קוצר נשימה, כאבים בחזה וחום שמעלים את החשד למחלה בבית החזה או בריאות, וכאשר אמצעי הדמיה פשוטים יותר, כמו צילום חזה, אינם נותנים תשובה שהיא מפורטת במידה מספקת.• כשרוצים להעריך את הגודל ואת מידת הפיזור של גידולים שמקורם בבית החזה או באיברים מרוחקים (גרורות).• כדי לתכנן טיפול בסרטן באמצעות קרינה (רדיותרפיה) או באמצעות ניתוח וכדי להעריך אם לטיפולים באמצעות קרינה או באמצעות כימותרפיה יש השפעה על הגידול.• כדי להעריך את מידת הנזק שנגרם לבית החזה - ובכלל זה לכלי הדם, לריאות, לצלעות ולעמוד השדרה - כתוצאה מחבלות ומפציעות (טראומה).• כדי להעריך את מצבם של כלי הדם בבית החזה יש לעיתים לעשות אנגיוגרפיה - בדיקת CT של כלי הדם לאחר הזרקת חו",CT חזה
123,יש צורך בהכנה מוקדמת?,"בכל צילום יש לחשוף את האיבר המצולם, ולכן ייתכן שתתבקשו להסיר בגדים, תכשיטים וחפצי מתכת שעלולים להפריע לצילום ולפענוח הבדיקה.לקראת קולונוסקופיה וירטואלית יש צורך בהכנה מיוחדת שמתחילה כמה ימים לפני הבדיקה. ההכנה כוללת דיאטה מיוחדת שבה נעשה שימוש בתמיסות משלשלות שמנקות את המעיים משאריות צואה. יש לפנות למכון שבו תיעשה הבדיקה כדי לקבל הנחיות מפורטות ורשימת תרופות.את המרשמים ניתן לקבל מרופא א",בדיקת CT (סיטי)
124,איך עושים בדיקת CT חזה?,"לביצוע הבדיקה יבקשו ממך לשכב על שולחן בדיקה צר שמחליק לתוך מכשיר ה־CT. זהו מכשיר מלבני גדול בעל פתח עגול.מכשיר ה־CT יוצר סדרה של צילומי רנטגן מזוויות שונות שבהמשך מעובדות באמצעות המחשב לתמונות הנקראות חתכים. ניתן גם לבצע עיבודים נוספים כדי ליצור תמונה תלת־ממדית.בזמן הבדיקה יש לשכב ללא תזוזה, משום שתנועה תגרום לטשטוש התמונה. לעיתים משתמשים בכריות או ברצועות שמסייעות לייצב את הגוף ומונעות תזוזה.ייתכן שיבקשו ממך לעצור את נשימתך לזמן קצר במהלך הבדיקה. בזמן הבדיקה יימצא הטכנאי בחדר הסמוך, אך הוא יכול לשמוע אותך ולדבר איתך באמצעות מכשיר האינטרקום.בחלק מהמקרים צריך להשתמש בצבע מיוחד - הנקרא חומר ניגוד - שמוזרק לתוך הווריד כדי לקבל תמונה ברורה יותר של כלי הדם או כאש",CT חזה
125,מהו צילום חזה?,"צילום רנטגן של החזה הוא בדיקת הדמיה ותיקה (יחסית לבדיקות הדמיה אחרות) ונפוצה מאוד. זו בדיקה בלתי פולשנית הכרוכה בחשיפה למינון נמוך של קרינה מייננת.צילום חזה מספק תמונה של איברי הפנים שבחזה - הלב, הריאות, דרכי הנשימה, כלי הדם, החוליות ועצמות בית החזה - ומסייע לאבחן מגוון רחב של מצבים חריפים וכרוניים.בעבר היו הצילומים מודפסים על פילם עבה, אך היום הם נשמרים בדרך כלל במתכונת דיגיטלית ומוצגים על צג מחשב. צילום חזה הוא אומנם בדיקה בטוחה, זמינה וזולה שמסייעת לאבחן מצבים רבים, אך התמונה שמתקבלת הרבה פחות מפורטת מאשר בבדיקות הדמיה אחרות כמו CT חזה.צי",צילום חזה
126,מתי יש צורך בצילום חזה?,הרופא עשוי להפנות אותך לצילום חזה במצבים הבאים:• תלונה על קוצר נשימה.• שיעול חמור או ממושך.• כאבים בחזה.• חבלה בבית החזה.• חום ממושך.צילום חזה משמש לאבחון מצבים שונים ולמעקב אחריהם. למשל:• דלקת ריאות.• הימצאות גוף זר בריאות או בדרכי הנשימה.• אי־ספיקת לב ומחלות לב אחרות.• מחלות ריאה כרוני,צילום חזה
127,מהי בדיקת קולונוסקופיה?,קולונוסקופיה (באנגלית: Colonoscopy) היא בדיקה שמאפשרת להתבונן בחלחולת (רקטום) ובכל המעי הגס (קולון) עד החלק הסופי של המעי הדק.הבדיקה נעשית באמצעות קולונוסקופ המוחדר דרך פי הטבעת. הקולונוסקופ הוא מכשיר הבנוי מצינור דק ובו מצלמה זעירה הממוקמת בקצהו. הבדיקה מאפשרת לאבחן מחלות של דרכי העיכול התחתונות ולעי,קולונוסקופיה: מדריך הכנה לבדיקה
128,מתי יש צורך בבדיקת קולונוסקופיה?,"במצבים הבאים עשוי הרופא להפנות מטופל לבדיקת קולונוסקופיה:• בירור תסמינים המחשידים למחלה במערכת העיכול התחתונה, למשל: כאב בטן, דימום מפי הטבעת, עצירות כרונית, שלשול ממושך, ירידה במשקל או אנמיה.• המשך בירור במקרה של תשובה חיובית בבדיקת דם סמוי בצואה.• בדיקת סקר לגילוי מוקדם ש",קולונוסקופיה: מדריך הכנה לבדיקה
129,מהי ההכנה לבדיקת קולונוסקופיה?,"לפני בדיקת קולונוסקופיה יש צורך לרוקן באופן קפדני את המעי הגס. ריקון חלקי עלול להסתיר את דופן המעי ולגרוע מאמינות הבדיקה - מה שעלול לעיתים להצריך בדיקה חוזרת.ייתכנו הבדלים בהנחיות בין מכונים שונים ובעבור מטופלים שונים בנוגע להכנה שיש לעשות. ההנחיות הניתנות כאן הן כלליות בלבד, ויש לעקוב אחר ההנחיות שנותן הרופא הבודק.מטופלת הרה חייבת ליידע את הרופא הבודק שהיא בהריון, וכן יש ליידע את הרופא אם ידועה רגישות לתרופות מסוימות או למזון כמו סויה, ביצים וסולפיט. כמו כן יש ליידע את הרופא אם סובלים ממחלה מידבקת או ממחלה הגורמת לדימום או אם נושאים קוצב לב מלאכותי.ההכנה כוללת לרוב כמה מרכיבים:התאמת הטיפול התרופתי• ייתכן שלקראת הבדיקה יהיה צורך להפסיק או לשנות חלק מהטיפול התרופתי הקבוע. יש להתייעץ עם הרופא הבודק בנוגע לטיפול התרופתי, כולל תוספי מזון ותכשירים טבעיים.הרופא עשוי לתת הנחיות מיוחדות במקרה של מחלת לב, מחלת ריאות, מחלת כליה או סוכרת וכן במקרה של נטילת תרופות נוגדות קרישה (לדילול דם): קומדין, פלביקס, אפיינט, פרדקסה, קסרלטו, אליקוויס ותרופות נוגדות קרישה אחרות.בעבר נהגו להורות לנבדקים להפסיק כליל את הנטילה של כל נוגדי הקרישה, כולל אספירין, 7-5 ימים לפני הבדיקה (מחשש לדימום בלתי נשלט במקרה של הסרת פוליפ או של ניקוב דופן המעי), אולם כיום ההנחיה היא שמותר להמשיך ליטול אספירין אפילו ביום הבדיקה עצמו.לעומת זאת את כל שאר התרופות נוגדות הקרישה יש להפסיק לקחת כמה ימים לפני הבדיקה - בהתאם להוראתו של רופא המשפחה. כדי לקבל את ההנחיות המדויקות באיזה שלב צריך להפסיק את הנטילה של כל תרופה נוגדת קרישה יש להיפגש עם רופא המשפחה 10 ימים לפני בדיקת הקולונוסקופיה.• תכשירים שמכילים ברזל ופחם - יש להפסיק את נטילתם 5 ימים לפני הבדיקה.• חולי סוכרת - בבוקר יום הבדיקה אסור להזריק אינסולין או לקחת תרופות אחרות לסוכרת.• תרופות קבועות למחלות כרוניות ניתן ליטול עד 3 שעות לפני הבדיקה עם מעט מים.תזונהלפני קולונוסקופיה יש להיכנס למשטר דיאטה קפדני כדי להגיע לבדיקה כשהמעי הגס מרוקן לחלוטין.72 שעות לפני הבדיקה יש להפסיק לאכול מזונות עשירים בסיבים כמו פירות וירקות מכל סוג שהוא (הן חיים והן מבושלים), לחם מלא, דייסת קוואקר ודגני בוקר.כמו כן אסור לקחת תוספי סיבים כמו סובין חיטה או סובין שיבולת שועל. בשלב הזה עדיין מותר לצרוך מזונות עניים בסיבים כמו תפוחי אדמה, לחם לבן, מרגרינה, דבש, ריבה, מרקים, איטריות, דגים, ביצים, עוף והודו. במקביל יש להקפיד על שתייה מרובה - אך לא חלב ולא משקאות חריפים.24 שעות לפני הבדיקה יש להפסיק לאכול מזון מוצק מכל סוג שהוא. מותר לצרוך אך ורק מזונות ומשקאות המורכבים מנוזלים צלולים ושמכילים אלקטרוליטים כמו מרק צח עם מלח, תה (מותר להמתיק בהתאם לטעם האישי), מיצים צלולים.יש להקפיד שהנוזלים הנצרכים אינם כוללים רק מים. צריכת הנוזלים היא לא רק מותרת אלא אף חובה: יש להקפיד על שתייה מרובה - לפחות כוס בשעה - אך לא חלב ומשקאות חריפים וכאמור לא רק מים.ניתן לשתות נוזלים צלולים עד שעתיים לפני הבדיקה. לאחר מכן גם אותם אסור לשתות.נטילת חומר משלשלחומר משלשל (שתפקידו לרוקן את המעיים) ניתן בצורה של כדור או של תמיסה או של אבקה.אופן נטילת המשלשל משתנה בהתאם לסוג המשלשל שלוקחים ולפי שעת הבדיקה. לפעמים ההנחיה היא להתחיל לקחת משלשל חלש יחסית פעם ביום יומיים־שלושה לפני הבדיקה, ואת המשלשל החזק נותנים יום לפני הבדיקה. במקומות אחרים נותנים רק פעם אחת משלשל חזק ביום שלפני הבדיקה.את ההחלטה איזה חומר משלשל לתת לפני הבדיקה מקבל הרופא - בין היתר בהתאם למצבו הרפואי של הנבדק. כך, למשל, יש חומרים משלשלים שאינם מתאימים למי שסובלים ממחלות כליה.החומר המשלשל עלול לגרום להתייבשות ולהפרעות אלקטרוליטיות בשל אובדן נוזלים ומלחים, ולכן יש להקפיד על ההנחיות הבאות:1. אם מדובר בחומר משלשל כמו פיקולקס, שניטל בשתי מנות (הוא משוּוק בשתי שקיות), יש להקפיד על מרווח של 6 עד 8 שעות בין מנה למנה.2. כדי לפצות על אובדן הנוזלים בעקבות נטילת החומר המשלשל יש לשתות נוזלים רבים, אך יש להקפיד שאלה יהיו לא רק מים אלא גם נוזלים צלולים שמכילים אלקטרוליטים (מלחים) כמו מרק צלול שמכיל מלח ומיצי פירות צלולים. שתייה של מים בלבד ללא אלקטרוליטים עלולה לגרום לתופעות לוואי חמורות שבנסיבות מסוימות אף עלולות להיות מסכנות חיים.3. יש להתייעץ בדחיפות עם הרופא המטפל אם בעקבות נטילת החומר המשלשל סובלים מאחת או יותר מתופעות הלוואי הבאות: כאב בטן חריף או ממושך, הקאות חריפות, כאב ראש חריף, בלבול, הרגשה רעה.4. בכל מקרה יש לקרוא בעיון את העלון למשתמש המצורף לחומר המשלשל.5. אם התכשיר המשלשל נלקח באופן שגוי (למשל, בין נטילת השקית הראשונה של החומר המשלשל לשקית השנייה הפרידו רק שעתיים במקום 6 עד 8 שעות כנדרש) יש להתייעץ עם הרופא המטפל או לגשת לחדר מיון.יש לציין כי לפעמים מורה הרופא הבודק לנבדק לעשות חוקן זמן קצר לפני בדיקת הקולונוסקופיה.לתשומת ליבךההנחיות לקראת הבדיקה עשויות להשתנות ממרפאה למרפאה בהתאם לסוג המשלשל שבו משתמשים ובהתאם לשעות שבהן עו",קולונוסקופיה: מדריך הכנה לבדיקה
130,איך נעשית בדיקת קולונוסקופיה?,"את הבדיקה עושה לרוב רופא גסטרואנטרולוג, שהוא מומחה למחלות של דרכי העיכול. לפני הבדיקה מתבקש המטופל להסיר את כל בגדיו וללבוש חלוק בית חולים בלבד. לרוב מרכיבים לו צנתר תוך־ורידי ונותנים לו תרופת הרגעה באמצעות עירוי תוך־ורידי - מה שמסייע לו לעבור את הבדיקה בצורה נינוחה יותר.לפני הבדיקה מבקשים מהנבדק לשכב על הצד השמאלי, לרוב בברכיים מקופלות לכיוון בית החזה. הרופא מחדיר בעדינות את הקולונוסקופ דרך פי הטבעת לאורך המעי הגס, עד החלק האחרון של המעי הדק. תוך כדי הבדיקה מתבונן הרופא בצג שאליו משודרות התמונות מהמצלמה הזעירה שבקצה הקולונוסקופ.בזמן הבדיקה מנפחים את המעי באמצעות לחץ אוויר כדי להקל על מעבר הקולונוסקופ ולאפשר צפייה בכל קפלי המעי. כתוצאה מכך תיתכן תחושת לחץ ומלאוּת.אם יש צורך לעשות ביופסיה או לכרות פוליפ, מחדיר הרופא מכשור מיוחד דרך הקולונוסקופ ועושה את הפעולה באמצעות הסתכלות בצג. הפעולה הזאת אינה כרוכה בכאב.לאחר שהרופא מסיים את הבדיקה, הוא שולף באיטיות את הקולונוסק",קולונוסקופיה: מדריך הכנה לבדיקה
131,כיצד נעשית הבדיקה?,"לפני הבדיקה ייתכן שיבקשו ממך ללבוש חלוק בית חולים או בגדים ללא חלקי מתכת.הטכנאי יבקש ממך לשכב על שולחן בדיקה צר שמחליק לתוך סורק דמוי מנהרה.בזמן הבדיקה יש לשכב ללא תזוזה, משום שתנועה גורמת לקבלת תמונה מטושטשת. לעיתים משתמשים במתקן תמיכה שמסייע להחזיק את הראש ללא תזוזה.במהלך הבדיקה ייתכן שיבקשו ממך לעצור את נשימתך לזמן קצר.בזמן הבדיקה נמצא הטכנאי בחדר סמוך, אך הוא יכול לראות אותך, ואתם יכולים לדבר. כדי לדבר עם הטכנאי יש ללחוץ על לחצן שניתן לכל מי שעובר את הבדיקה.MRI עם חומד ניגודלפני בדיקת הדימות מתקינים עירוי (צינורית דקיקה) בווריד, והוא משמש להזרמת חומר הניגוד במהלך הבדיקה. חומר הניגוד שמוזרק בבדיקה מכיל גדוליניום (סוג של מתכת), שבניגוד ליוד כמעט שאינו גורם לתגובה אלרגית ולכן מומלץ למטופלים הזקוקים להדמיה עם חומר ניגוד אך סובלים מאלרגיה ליוד.בעת שמתקינים את העירוי חשים דקירה קלה ביד, בדומה לדקירה שחשים בבדיקת דם רגילה. בזמן ההזרקה של חומר הניגוד ייתכנו תחושת קור במקום ההזרקה או תחושת חום והסמקה בעור. אלה תופעות מוכרות החולפות",MRI מוח (MRI ראש)
132,מהו ההבדל בין בדיקת CT עם חומר ניגוד ובלעדיו?,"במקרים מסוימים ימליץ הרופא המטפל לעשות בדיקת CT ראש בעזרת חומר ניגוד (תמיסה המכילה יוד). במקרה כזה ייתכן שהמטופל יתבקש להגיע לבדיקה כשהוא בצום ולעשות לקראתה בדיקות דם. הנחיות ספציפיות ניתנות בעת שנקבע התור.לפני בדיקת CT מתקינים עירוי (צינורית דקיקה) בווריד, והוא משמש להזרמת חומר הניגוד במהלך הבדיקה. בעת שחומר הניגוד מוזרק חשים לעיתים תחושת חום רגעית וטעם מתכתי בפה.קיימות 3 בדיקות שונות שכוללות הזרקה של חומר ניגוד:• CT ראש עם חומר ניגוד נועד להדגיש הבדלים בין רקמות שונות במוח ומסייע לאבחן פתולוגיות (מחלות) שונות.• CT של העורקים - CTA (קיצור של CT angiography) - מאפשר לקבל תמונה של העורקים במוח ולראות פגיעות שונות שנגרמו להם כמו חסימה, התרחבות לא תקינה או קרע.• CT של הוורידים - CTV (קיצור של CT venography) - מאפשר לקבל תמונה של ורידי המוח ולזהות בהם פתולוגיות ש",בדיקת CT ראש (CT מוח)
133,מתי עושים CT ראש?,"CT ראש משמש למטרות הבאות:• הדמיה של מבנה המוח, של עצמות הגולגולת ושל עצמות הפנים.• 	זיהוי ומיקום של תהליכים בתוך רקמת המוח כמו גידול, דימום, זיהום (אבסס), אבחון שבץ מוחי, אבחון מומים מולדים והצטברות נוזלים במוח.•	זיהוי תהליכים מחוץ לרקמת המוח כמו דלקות, שברים, זיהומים, גידולים בארובת העיניים או בסינוסים.• במקרה של חבלה נעשית הבדיקה כדי לשלול דימום מוחי או שבר בעצמות.•	זיהוי פגיעה בכלי דם במוח (הן עורקים והן וריד",בדיקת CT ראש (CT מוח)
